scenario,model,mean_coef,mean_true_att,mean_bias,rmse,coverage_rate,mean_se,n_iters,n_units,preset
8,DML-Chang,-0.2795482937511271,-0.5701249545347588,0.2905766607836316,0.2993062867122553,0.0085,0.058213471580182,2000.0,10000,light
8,TWFE,-0.4565309996760431,-0.5701249545347588,0.1135939548587156,0.1221850804177741,0.646,0.0667005475955726,2000.0,10000,light
9,DML-Multi,-1.1949953180190318,-1.1891205766230462,-0.0058747413959855,0.0363265590819524,0.9989935026008172,,2000.0,10000,light
9,TWFE,-0.6413122536410301,-1.1891205766230462,0.5478083229820159,0.5500082107898436,0.0,0.0303847221602955,2000.0,10000,light
10,DML-Chang,0.0395193634900044,0.0399949733837799,-0.0004756098937754,0.0433752609799001,0.9735,0.0487025212561684,2000.0,10000,light
10,TWFE,0.04005081380567,0.0399949733837799,5.5840421890180005e-05,0.0326443222755003,0.986,0.0422534129248945,2000.0,10000,light
11,DML-Chang,0.0611379054933221,0.0497606064342272,0.0113772990590949,0.0512479763632462,0.948,0.0504764304168713,2000.0,10000,light
11,TWFE,0.1875711371898091,0.0497606064342272,0.1378105307555819,0.1423087270350654,0.072,0.0437582145480782,2000.0,10000,light
12,DML-Chang,-0.2837431336083314,-0.6266994354578824,0.3429563018495509,0.3500043662582255,0.0005,0.0582869807946203,2000.0,10000,light
12,TWFE,-0.5143887687542722,-0.6266994354578824,0.1123106667036102,0.1213031404603997,0.429,0.0532112993187266,2000.0,10000,light
1,DML-Chang,0.1180269174107576,0.1174003691905297,0.0006265482202278,0.0324938419400883,0.9885,0.0410130910792513,2000.0,10000,default
1,TWFE,0.1178798246604655,0.1174003691905297,0.0004794554699357,0.0304734860010597,1.0,0.0549042522739871,2000.0,10000,default
2,DML-Chang,0.039584393113847,0.0800369789883222,-0.0404525858744752,0.0666558523812985,0.8875,0.0537554925862799,2000.0,10000,default
2,TWFE,0.0795628016756645,0.0800369789883222,-0.0004741773126576,0.0321332420166127,1.0,0.0586784436503723,2000.0,10000,default
3,DML-Multi,-0.051217832699417,-0.0532465004449697,0.0020286677455526,0.0270154993137053,1.0,,2000.0,10000,default
3,TWFE,0.1012579837310839,-0.0532465004449697,0.1545044841760537,0.1658988645314682,0.0739666408560436,0.0338940121775138,2000.0,10000,default
4,DML-Chang,0.1038190079412317,0.1046693764325578,-0.000850368491326,0.040764199116351,0.9635,0.0432441093370433,2000.0,10000,default
4,TWFE,0.2760385488956463,0.1046693764325578,0.1713691724630884,0.1743535071526727,0.014,0.0516571829841291,2000.0,10000,default
5,DML-Chang,0.0655391851636645,0.1248987566189935,-0.059359571455329,0.0835209770354212,0.8365,0.0612288740249519,2000.0,10000,default
5,TWFE,0.2642425111417529,0.1248987566189935,0.1393437545227593,0.1436806309996912,0.2565,0.058967603103327,2000.0,10000,default
6,DML-Multi,-0.1075741101032681,-0.1141092328574175,0.0065351227541494,0.0293389990418896,1.0,,2000.0,10000,default
6,TWFE,0.1547600573346631,-0.1141092328574175,0.2688692901920807,0.2740398900350935,0.0,0.0288148709475879,2000.0,10000,default
7,DML-Chang,-0.9234273746503444,-0.9245608435592289,0.0011334689088841,0.0773000909259273,0.9295,0.0715956603047569,2000.0,10000,default
7,TWFE,-0.7592338188705747,-0.9245608435592289,0.165327024688654,0.1695746621884108,0.1055,0.0599292469187787,2000.0,10000,default
8,DML-Chang,-0.2818136102164051,-0.5701249545347588,0.2883113443183537,0.3008653349523469,0.0745,0.0798424541246941,2000.0,10000,default
8,TWFE,-0.4565309996760431,-0.5701249545347588,0.1135939548587156,0.1221850804177741,0.646,0.0667005475955726,2000.0,10000,default
9,DML-Multi,-1.1939921467539385,-1.1891205766230462,-0.0048715701308921,0.0435519832556649,0.996992835017396,,2000.0,10000,default
9,TWFE,-0.6413122536410301,-1.1891205766230462,0.5478083229820159,0.5500082107898436,0.0,0.0303847221602955,2000.0,10000,default
10,DML-Chang,0.0393917110605455,0.0399949733837799,-0.0006032623232343,0.0472711860881068,0.9755,0.0537884456660419,2000.0,10000,default
10,TWFE,0.04005081380567,0.0399949733837799,5.5840421890180005e-05,0.0326443222755003,0.986,0.0422534129248945,2000.0,10000,default
11,DML-Chang,0.0606886445680308,0.0497606064342272,0.0109280381338036,0.057923949840816,0.964,0.0614814087671183,2000.0,10000,default
11,TWFE,0.1875711371898091,0.0497606064342272,0.1378105307555819,0.1423087270350654,0.072,0.0437582145480782,2000.0,10000,default
12,DML-Chang,-0.2848954295224491,-0.6266994354578824,0.3418040059354333,0.352273272789219,0.017,0.0796811102965088,2000.0,10000,default
12,TWFE,-0.5143887687542722,-0.6266994354578824,0.1123106667036102,0.1213031404603997,0.429,0.0532112993187266,2000.0,10000,default
1,DML-Chang,0.1182252394441461,0.1174003691905297,0.0008248702536164,0.0398355662078139,0.9865,0.0487173213470793,2000.0,10000,heavy
1,TWFE,0.1178798246604655,0.1174003691905297,0.0004794554699357,0.0304734860010597,1.0,0.0549042522739871,2000.0,10000,heavy
2,DML-Chang,0.0390517200271224,0.0800369789883222,-0.0409852589611997,0.0868840078569607,0.947,0.0853763955878765,2000.0,10000,heavy
2,TWFE,0.0795628016756645,0.0800369789883222,-0.0004741773126576,0.0321332420166127,1.0,0.0586784436503723,2000.0,10000,heavy
3,DML-Multi,-0.0512720551973319,-0.0532465004449697,0.0019744452476378,0.0316288388735312,1.0,,2000.0,10000,heavy
3,TWFE,0.1012579837310839,-0.0532465004449697,0.1545044841760537,0.1658988645314682,0.0739666408560436,0.0338940121775138,2000.0,10000,heavy
4,DML-Chang,0.1026183167652938,0.1046693764325578,-0.0020510596672639,0.0591739812069053,0.9825,0.0665564159858223,2000.0,10000,heavy
4,TWFE,0.2760385488956463,0.1046693764325578,0.1713691724630884,0.1743535071526727,0.014,0.0516571829841291,2000.0,10000,heavy
